word;lvl;transcription;translation;class
a;a1;[ə,(eı)];один;indefinite article
abandon;b2;[əʹbændən];отказаться от;verb
ability;a2;[əʹbılıtı];способность;noun
able;a2;[ʹeıb(ə)l];способный;adjective
abolish;c1;[əʹbɒlıʃ];отменить;verb
abortion;c1;[əʹbɔ:ʃ(ə)n];аборт;noun
about;a1;[əʹbaʋt];около;adverb
about;a1;[əʹbaʋt];о;preposition
above;a1;[əʹbʌv];выше;adverb
above;a1;[əʹbʌv];над;preposition
abroad;a2;[əʹbrɔ:d];за рубежом;adverb
absence;c1;[ʹæbs(ə)ns];отсутствие;noun
absent;c1;[ʹæbs(ə)nt];отсутствующий;adjective
absolute;b2;[ʹæbsəlu:t];абсолютный;adjective
absolutely;b1;[͵æbsəʹlu:tlı];абсолютно;adverb
absorb;b2;[əbʹzɔ:b];поглощать;verb
abstract;b2;[ʹæbstrækt];абстрактный;adjective
absurd;c1;[əbʹsɜ:d];абсурдный;adjective
abundance;c1;[əʹbʌndəns];изобилие;noun
abuse;c1;[əʹbju:s];злоупотребление;noun
abuse;c1;[əʹbju:s];злоупотреблять;verb
academic;b1;[͵ækəʹdemık];академический;adjective
academic;b2;[͵ækəʹdemık];академик;noun
academy;c1;[əʹkædəmı];академия;noun
accelerate;c1;[əkʹseləreıt];ускорить;verb
accent;b2;[ʹæks(ə)nt];акцент;noun
accept;a2;[əkʹsept];принять;verb
acceptable;b2;[əkʹseptəb(ə)l];приемлемый;adjective
acceptance;c1;[əkʹseptəns];принятие;noun
access;b1;[ʹækses];доступ;noun
access;b1;[ʹækses];получить доступ;verb
accessible;c1;[əkʹsesəb(ə)l];доступный;adjective
accident;a2;[ʹæksıd(ə)nt];авария;noun
accidentally;b2;[͵æksıʹdent(ə)lı];случайно;adverb
accommodate;b2;[əʹkɒmədeıt];вместить;verb
accommodation;b1;[ə͵kɒməʹdeıʃ(ə)n];жилье;noun
accompany;b2;[əʹkʌmp(ə)nı];сопровождать;verb
accomplish;b2;[əʹkʌmplıʃ];достичь;verb
accomplishment;c1;[əʹkʌmplıʃınənt];достижение;noun
accordance;c1;[əʹkɔ:d(ə)ns];соответствие;noun
according to;a2;[əʹkɔ:dıŋ] [tu:];по данным;preposition
accordingly;c1;[əʹkɔ:dıŋlı];соответственно;adverb
account;b1;[əʹkaʋnt];счет;noun
account;b2;[əʹkaʋnt];приходиться;verb
accountability;c1;[ə͵kaʋntəʹbılıtı];подотчетность;noun
accountable;c1;[əʹkaʋntəb(ə)l];подотчетный;adjective
accountant;b2;[əʹkaʋntənt];бухгалтер;noun
accounting;unknown;[əʹkaʋntıŋ];учет;noun
accumulate;c1;[əʹkju:mjʋleıt];накапливаться;verb
accumulation;c1;[ə͵kju:mjʋʹleıʃ(ə)n];накопление;noun
accuracy;b2;[ʹækjərəsı];точность;noun
accurate;b2;[ʹækjərət];точный;adjective
accurately;b2;[ʹækjərətlı];точно;adverb
accusation;c1;[͵ækjʋʹzeıʃ(ə)n];обвинение;noun
accuse;b2;[əʹkju:z];обвинять;verb
accused;c1;[əʹkju:zd];обвиняемый;noun
achieve;a2;[əʹtʃi:v];достигнуть;verb
achievement;b1;[əʹtʃi:vmənt];достижение;noun
acid;c1;[ʹæsıd];кислотный;adjective
acid;b2;[ʹæsıd];кислота;noun
acknowledge;b2;[əkʹnɒlıdʒ];признать;verb
acquire;b2;[əʹkwaıə];приобрести;verb
acquisition;c1;[͵ækwıʹzıʃ(ə)n];приобретение;noun
acre;c1;[ʹeıkə];акр;noun
across;a1;[əʹkrɒs];через;adverb
across;a1;[əʹkrɒs];напротив;preposition
act;b1;[ækt];закон;noun
act;a2;[ækt];действовать;verb
action;a1;[ʹækʃ(ə)n];действие;noun
activate;b2;[ʹæktıveıt];активировать;verb
activation;c1;[͵æktıʹveıʃ(ə)n];активация;noun
active;a2;[ʹæktıv];активный;adjective
activist;c1;[ʹæktıvıst];активист;noun
activity;a1;[ækʹtıvıtı];деятельность;noun
actor;a1;[ʹæktə];актер;noun
actress;a1;[ʹæktrıs];актриса;noun
actual;b2;[ʹæktʃʋəl];фактический;adjective
actually;a2;[ʹæktʃ(ʋ)əlı];на самом деле;adverb
acute;c1;[əʹkju:t];острый;adjective
ad;b1;[æd];реклама;noun
adapt;b2;[əʹdæpt];адаптироваться;verb
adaptation;c1;[͵ædəpʹteıʃ(ə)n];адаптация;noun
add;a1;[æd];добавить;verb
addiction;b2;[əʹdıkʃ(ə)n];зависимость;noun
addition;b1;[əʹdıʃ(ə)n];дополнение;noun
additional;b2;[əʹdıʃ(ə)nəl];дополнительный;adjective
additionally;b2;[əʹdıʃ(ə)nəlı];кроме того;adverb
address;a1;[əʹdres];адрес;noun
address;b2;[əʹdres];решить;verb
adequate;b2;[ʹædıkwıt];адекватный;adjective
adequately;b2;[ʹædıkwıtlı];адекватно;adverb
adhere;c1;[ədʹhıə];придерживаться;verb
adjacent;c1;[əʹdʒeıs(ə)nt];прилегающий;adjective
adjust;b2;[əʹdʒʌst];корректировать;verb
adjustment;c1;[əʹdʒʌstmənt];корректировка;noun
administer;c1;[ədʹmınıstə];управлять;verb
administration;b2;[əd͵mınıʹstreıʃ(ə)n];администрация;noun
administrative;c1;[ədʹmınıstrətıv];административный;adjective
administrator;c1;[ədʹmınıstreıtə];администратор;noun
admire;b1;[ədʹmaıə];восхищаться;verb
admission;c1;[ədʹmıʃ(ə)n];прием;noun
admit;b1;[ədʹmıt];признать;verb
adolescent;c1;[͵ædəʹles(ə)nt];подросток;noun
adopt;b2;[əʹdɒpt];принять;verb
adoption;c1;[əʹdɒpʃ(ə)n];принятие;noun
adult;a2;[ʹædʌlt];взрослый;adjective
adult;a1;[ʹædʌlt];взрослая;noun
advance;b2;[ədʹvɑ:ns];предварительный;adjective
advance;b2;[ədʹvɑ:ns];продвижение;noun
advance;b2;[ədʹvɑ:ns];продвигать;verb
advanced;b1;[ədʹvɑ:nst];передовой;adjective
advantage;a2;[ədʹvɑ:ntıdʒ];преимущество;noun
adventure;a2;[ədʹventʃə];приключение;noun
adverse;c1;[ʹædvɜ:s];неблагоприятный;adjective
advertise;a2;[ʹædvətaız];рекламировать;verb
advertisement;a2;[ədʹvɜ:tısmənt];реклама;noun
advertising;a2;[ʹædvətaızıŋ];реклама;noun
advice;a1;[ədʹvaıs];совет;noun
advise;b1;[ədʹvaız];советовать;verb
advocate;c1;[ʹædvək(ə)t];адвокат;noun
advocate;c1;[ʹædvək(ə)t];выступать за;verb
aesthetic;c1;[i:sʹθetık];эстетический;adjective
affair;b2;[əʹfeə];роман;noun
affect;a2;[ʹæfekt];влиять на;verb
affection;c1;[əʹfekʃ(ə)n];привязанность;noun
afford;b1;[əʹfɔ:d];позволить себе;verb
affordable;b2;[əʹfɔ:dəb(ə)l];доступный;adjective
afraid;a1;[əʹfreıd];испуганный;adjective
after;a2;[ʹɑ:ftə];после;adverb
after;a2;[ʹɑ:ftə];после того как;conjunction
after;a1;[ʹɑ:ftə];через;preposition
aftermath;c1;[ʹɑ:ftəmæθ];последствие;noun
afternoon;a1;[͵ɑ:ftəʹnu:n];день;noun
afterwards;b2;['ɑ:ftəwədz];после этого;adverb
again;a1;[əʹge(ı)n];снова;adverb
against;a2;[əʹge(ı)nst];над;preposition
age;a1;[eıdʒ];возраст;noun
age;b1;[eıdʒ];стареть;verb
aged;b1;[ʹeıdʒ(ı)d];старый;adjective
agency;b2;[ʹeıdʒ(ə)nsı];агентство;noun
agenda;b2;[əʹdʒendə];повестка дня;noun
agent;b1;[ʹeıdʒ(ə)nt];агент;noun
aggression;c1;[əʹgreʃ(ə)n];агрессия;noun
aggressive;b2;[əʹgresıv];агрессивный;adjective
ago;a1;[əʹgəʋ];назад;adverb
agree;a1;[əʹgri:];согласиться;verb
agreement;b1;[əʹgri:mənt];соглашение;noun
agricultural;c1;[͵ægrıʹkʌltʃ(ə)rəl];сельскохозяйственный;adjective
agriculture;b2;[ʹægrı͵kʌltʃə];сельское хозяйство;noun
ah;a2;[ɑ:];ах;exclamation
ahead;b1;[əʹhed];впереди;adverb
aid;b2;[eıd];помощь;noun
aid;b2;[eıd];помочь;verb
aide;c1;[eıd];помощник;noun
aids;b2;[eıdz];пособия;noun
aim;b1;[eım];цель;noun
aim;b1;[eım];стремиться;verb
air;a1;[eə];воздух;noun
aircraft;b2;[ʹeəkrɑ:ft];самолет;noun
airline;a2;[ʹeəlaın];авиакомпания;noun
airport;a1;[ʹeəpɔ:t];аэропорт;noun
alarm;b1;[əʹlɑ:m];сигнализация;noun
alarm;b2;[əʹlɑ:m];тревожить;verb
albeit;c1;[ɔ:lʹbi:ıt];хоть и;conjunction
album;b1;[ʹælbəm];альбом;noun
alcohol;b1;[ʹælkəhɒl];алкоголь;noun
alcoholic;b1;[͵ælkəʹhɒlık];алкогольный;adjective
alert;c1;[əʹlɜ:t];бдительный;adjective
alert;c1;[əʹlɜ:t];оповещение;noun
alert;c1;[əʹlɜ:t];предупредить;verb
alien;c1;[ʹeılıən];инопланетный;adjective
alien;b2;[ʹeılıən];иностранец;noun
align;c1;[əʹlaın];привести;verb
alignment;c1;[əʹlaınmənt];выравнивание;noun
alike;c1;[əʹlaık];одинаковый;adjective
alike;c1;[əʹlaık];так;adverb
alive;a2;[əʹlaıv];живой;adjective
all;a2;[ɔ:l];совсем;adverb
all;a1;[ɔ:l];все;determiner
all;a1;[ɔ:l];всё;pronoun
all right;a2;[ɔ:l] [raıt];в порядке;adjective
all right;a2;[ɔ:l] [raıt];хорошо;adverb
all right;a2;[ɔ:l] [raıt];верно;exclamation
allegation;c1;[͵ælıʹgeıʃ(ə)n];утверждение;noun
allege;c1;[əʹledʒ];утверждать;verb
allegedly;c1;[əʹledʒıdlı];якобы;adverb
alliance;c1;[əʹlaıəns];альянс;noun
allocate;c1;[ʹæləkeıt];выделить;verb
allocation;c1;[͵æləʹkeıʃ(ə)n];распределение;noun
allow;a2;[əʹlaʋ];позволить;verb
allowance;c1;[əʹlaʋəns];пособие;noun
ally;c1;[ʹælaı];союзник;noun
almost;a2;[ʹɔ:lməʋst];почти;adverb
alone;a2;[əʹləʋn];только;adjective
alone;a2;[əʹləʋn];в одиночку;adverb
along;a2;[əʹlɒŋ];вместе;adverb
along;a2;[əʹlɒŋ];вдоль;preposition
alongside;b2;[ə͵lɒŋʹsaıd];вместе с;preposition
already;a2;[ɔ:lʹredı];уже;adverb
also;a1;[ʹɔ:lsəʋ];также;adverb
alter;b2;[ʹɔ:ltə];изменить;verb
alternative;b1;[ɔ:lʹtɜ:nətıv];альтернативный;adjective
alternative;a2;[ɔ:lʹtɜ:nətıv];альтернатива;noun
although;a2;[ɔ:lʹðəʋ];но;conjunction
altogether;b2;[͵ɔ:ltəʹgeðə];вообще;adverb
aluminium;c1;[͵æljʋʹmınıəm];алюминий;noun
always;a1;[ʹɔ:lw(e)ız];всегда;adverb
amateur;c1;[ʹæmət(ʃ)ə];любительский;adjective
amateur;c1;[ʹæmət(ʃ)ə];любитель;noun
amazed;b1;[əʹmeızd];потрясенный;adjective
amazing;a1;[əʹmeızıŋ];удивительный;adjective
ambassador;c1;[æmʹbæsədə];посол;noun
ambition;b1;[æmʹbıʃ(ə)n];амбиция;noun
ambitious;b1;[æmʹbıʃəs];амбициозный;adjective
ambulance;b2;[ʹæmbjʋləns];скорая помощь;noun
amend;c1;[əʹmend];изменить;verb
amendment;c1;[əʹmendmənt];поправка;noun
amid;c1;[əʹmıd];в условиях;preposition
among;a2;[əʹmʌŋ];между;preposition
amount;a2;[əʹmaʋnt];количество;noun
amount;b2;[əʹmaʋnt];составлять;verb
amusing;b2;[əʹmju:zıŋ];забавный;adjective
analogy;c1;[əʹnælədʒı];аналогия;noun
analyse;b1;[ʹænəlaız];анализировать;verb
analysis;b1;[əʹnælısıs];анализ;noun
analyst;b2;[ʹænəlıst];аналитик;noun
ancestor;b2;[ʹænsəstə];предок;noun
anchor;c1;[ʹæŋkə];якорь;noun
ancient;a2;[ʹeınʃ(ə)nt];древний;adjective
and;a1;[ænd];и;conjunction
angel;c1;[ʹeındʒ(ə)l];ангел;noun
anger;b2;[ʹæŋgə];гнев;noun
angle;b2;[ʹæŋg(ə)l];угол;noun
angrily;unknown;[ʹæŋgrılı];сердито;adverb
angry;a1;[ʹæŋgrı];злой;adjective
animal;a1;[ʹænım(ə)l];животное;noun
animation;b2;[ænıʹmeıʃ(ə)n];анимация;noun
ankle;a2;[ʹæŋk(ə)l];лодыжка;noun
anniversary;b2;[͵ænıʹvɜ:s(ə)rı];годовщина;noun
announce;b1;[əʹnaʋns];объявить;verb
announcement;b1;[əʹnaʋnsmənt];объявление;noun
annoy;b1;[əʹnɔı];раздражать;verb
annoyed;b1;[əʹnɔıd];раздраженный;adjective
annoying;b1;[əʹnɔııŋ];раздражающий;adjective
annual;b2;[ʹænjʋəl];ежегодный;adjective
annually;b2;[ʹænjʋəlı];ежегодно;adverb
anonymous;c1;[əʹnɒnıməs];анонимный;adjective
another;a1;[əʹnʌðə];еще один;determiner
another;a1;[əʹnʌðə];другой;pronoun
answer;a1;[ʹɑ:nsə];ответ;noun
answer;a1;[ʹɑ:nsə];ответить на;verb
anticipate;b2;[ænʹtısıpeıt];ожидать;verb
anxiety;b2;[æŋʹzaıətı];тревога;noun
anxious;b2;[ʹæŋkʃəs];тревожный;adjective
any;a2;[ʹenı];как-либо;adverb
