word;transcription;translation;class
ability;[əʹbılıtı];способность;noun
able;[ʹeıb(ə)l];способный;adjective
abroad;[əʹbrɔ:d];за рубежом;adverb
accept;[əkʹsept];принять;verb
accident;[ʹæksıd(ə)nt];авария;noun
according to;[əʹkɔ:dıŋ] [tu:];по данным;preposition
achieve;[əʹtʃi:v];достигнуть;verb
act;[ækt];действовать;verb
active;[ʹæktıv];активный;adjective
actually;[ʹæktʃ(ʋ)əlı];на самом деле;adverb
adult;[ʹædʌlt];взрослый;adjective
advantage;[ədʹvɑ:ntıdʒ];преимущество;noun
adventure;[ədʹventʃə];приключение;noun
advertise;[ʹædvətaız];рекламировать;verb
advertisement;[ədʹvɜ:tısmənt];реклама;noun
advertising;[ʹædvətaızıŋ];реклама;noun
affect;[ʹæfekt];влиять на;verb
after;[ʹɑ:ftə];после;adverb
after;[ʹɑ:ftə];после того как;conjunction
against;[əʹge(ı)nst];над;preposition
ah;[ɑ:];ах;exclamation
airline;[ʹeəlaın];авиакомпания;noun
alive;[əʹlaıv];живой;adjective
all;[ɔ:l];совсем;adverb
all right;[ɔ:l] [raıt];в порядке;adjective
all right;[ɔ:l] [raıt];хорошо;adverb
all right;[ɔ:l] [raıt];верно;exclamation
allow;[əʹlaʋ];позволить;verb
almost;[ʹɔ:lməʋst];почти;adverb
alone;[əʹləʋn];только;adjective
alone;[əʹləʋn];в одиночку;adverb
along;[əʹlɒŋ];вместе;adverb
along;[əʹlɒŋ];вдоль;preposition
already;[ɔ:lʹredı];уже;adverb
alternative;[ɔ:lʹtɜ:nətıv];альтернатива;noun
although;[ɔ:lʹðəʋ];но;conjunction
among;[əʹmʌŋ];между;preposition
amount;[əʹmaʋnt];количество;noun
ancient;[ʹeınʃ(ə)nt];древний;adjective
ankle;[ʹæŋk(ə)l];лодыжка;noun
any;[ʹenı];как-либо;adverb
any more;[ʹenı] [mɔ:];больше;adverb
anybody;[ʹenıbɒdı];никто;pronoun
anyway;[ʹenıweı];в любом случае;adverb
anywhere;[ʹenıweə];везде;adverb
anywhere;[ʹenıweə];где-нибудь;pronoun
app;[æp];приложение;noun
appear;[əʹpıə];появляться;verb
appearance;[əʹpı(ə)rəns];появление;noun
apply;[əʹplaı];применяться;verb
architect;[ʹɑ:kıtekt];архитектор;noun
architecture;[ʹɑ:kıtektʃə];архитектура;noun
argue;[ʹɑ:gju:];утверждать;verb
argument;[ʹɑ:gjʋmənt];аргумент;noun
army;[ʹɑ:mı];армия;noun
arrange;[əʹreındʒ];организовать;verb
arrangement;[əʹreındʒmənt];соглашение;noun
as;[æz];как;adverb
as;[æz];поскольку;conjunction
asleep;[əʹsli:p];спящий;adjective
assistant;[əʹsıst(ə)nt];младший;adjective
assistant;[əʹsıst(ə)nt];помощник;noun
athlete;[ʹæθli:t];спортсмен;noun
attack;[əʹtæk];атака;noun
attack;[əʹtæk];атаковать;verb
attend;[əʹtend];посещать;verb
attention;[əʹtenʃ(ə)n];внимание;exclamation
attention;[əʹtenʃ(ə)n];внимание;noun
attractive;[əʹtræktıv];привлекательный;adjective
audience;[ʹɔ:dıəns];аудитория;noun
author;[ʹɔ:θə];автор;noun
available;[əʹveıləb(ə)l];доступный;adjective
average;[ʹæv(ə)rıdʒ];средний;adjective
average;[ʹæv(ə)rıdʒ];показатель;noun
avoid;[əʹvɔıd];избежать;verb
award;[əʹwɔ:d];премия;noun
awful;[ʹɔ:f(ə)l];ужасный;adjective
back;[bæk];задний;adjective
background;[ʹbækgraʋnd];фон;noun
badly;[ʹbædlı];плохо;adverb
bar;[bɑ:];бар;noun
baseball;[ʹbıeısbɔ:l];бейсбол;noun
based;[ʹbeɪst];основанный;adjective
basketball;['bɑ:skitbɔ:l];баскетбол;noun
bean;[bi:n];боб;noun
bear;[beə];медведь;noun
beat;[bi:t];победить;verb
beef;[bi:f];говядина;noun
before;[bıʹfɔ:];раньше;adverb
before;[bıʹfɔ:];прежде чем;conjunction
behave;[bıʹheıv];вести себя;verb
behaviour;[bıʹheıvıə];поведение;noun
belong;[bıʹlɒŋ];принадлежать;verb
belt;[belt];пояс;noun
benefit;[ʹbenıfıt];польза;noun
best;[best];лучше всего;adverb
best;[best];все возможное;noun
better;[ʹbetə];лучше;adverb
between;[bıʹtwi:n];между;adverb
billion;[ʹbıljən];миллиард;number
bin;[bın];корзина;noun
biology;[baıʹɒlədʒı];биология;noun
birth;[bɜ:θ];рождение;noun
biscuit;[ʹbıskıt];печенье;noun
bit;[bıt];бит;noun
blank;[blæŋk];пустой;adjective
blank;[blæŋk];бланк;noun
blood;[blʌd];кровь;noun
blow;[bləʋ];дуть;verb
board;[bɔ:d];совет;noun
boil;[bɔıl];кипятить;verb
bone;[bəʋn];кость;noun
book;[bʋk];забронировать;verb
borrow;[ʹbɒrəʋ];одолжить;verb
boss;[bɒs];босс;noun
bottom;[ʹbɒtəm];нижний;adjective
bottom;[ʹbɒtəm];дно;noun
bowl;[bəʋl];чаша;noun
brain;[breın];мозг;noun
bridge;[brıdʒ];мост;noun
bright;[braıt];яркий;adjective
brilliant;[ʹbrılıənt];блестящий;adjective
broken;[ʹbrəʋkən];разбитый;adjective
brush;[brʌʃ];кисть;noun
brush;[brʌʃ];чистить;verb
burn;[bɜ:n];сжечь;verb
businessman;[ʹbıznısmən];бизнесмен;noun
button;[ʹbʌtn];кнопка;noun
camp;[kæmp];лагерь;noun
camp;[kæmp];разбивать лагерь;verb
camping;[ʹkæmpıŋ];кемпинг;noun
can;[kæn];банка;noun
care;[keə];помощь;noun
care;[keə];заботиться;verb
careful;[ʹkeəf(ə)l];осторожный;adjective
carefully;[ʹkeəf(ə)lı];тщательно;adverb
carpet;[ʹkɑ:pıt];ковер;noun
cartoon;[kɑ:ʹtu:n];мультфильм;noun
case;[keıs];случай;noun
cash;[kæʃ];наличные;noun
castle;[ʹkɑ:s(ə)l];замок;noun
catch;[kætʃ];поймать;verb
cause;[kɔ:z];причина;noun
cause;[kɔ:z];вызывать;verb
celebrate;[ʹselıbreıt];праздновать;verb
celebrity;[sıʹlebrıtı];знаменитость;noun
certain;[ʹsɜ:tn];определенный;adjective
certainly;[ʹsɜ:tnlı];безусловно;adverb
chance;[tʃɑ:ns];шанс;noun
character;[ʹkærıktə];характер;noun
charity;[ʹtʃærıtı];благотворительность;noun
chat;[tʃæt];чат;noun
chat;[tʃæt];общаться;verb
check;[tʃek];проверка;noun
chef;[ʃef];шеф-повар;noun
chemistry;[ʹkemıstrı];химия;noun
chip;[tʃıp];чип;noun
choice;[tʃɔıs];выбор;noun
church;[tʃɜ:tʃ];церковь;noun
cigarette;[͵sıgəʹret];сигарета;noun
circle;[ʹsɜ:k(ə)l];круг;noun
circle;[ʹsɜ:k(ə)l];кружить;verb
classical;[ʹklæsık(ə)l];классический;adjective
clear;[klıə];четкий;adjective
clearly;[ʹklıəlı];четко;adverb
clever;[ʹklevə];умный;adjective
climate;[ʹklaımıt];климат;noun
close;[kləʋs];близкий;adjective
closed;[kləʋzd];закрытый;adjective
clothing;[ʹkləʋðıŋ];одежда;noun
cloud;[klaʋd];облако;noun
coach;[kəʋtʃ];тренер;noun
coast;[kəʋst];побережье;noun
code;[kəʋd];кодекс;noun
colleague;[ʹkɒli:g];коллега;noun
collect;[kəʹlekt];собирать;verb
column;[ʹkɒləm];колонка;noun
comedy;[ʹkɒmədı];комедия;noun
comfortable;[ʹkʌmf(ə)təb(ə)l];комфортный;adjective
comment;[ʹkɒment];комментарий;noun
communicate;[kəʹmju:nıkeıt];общаться;verb
community;[kəʹmju:nıtı];сообщество;noun
compete;[kəmʹpi:t];конкурировать;verb
competition;[͵kɒmpıʹtıʃ(ə)n];конкуренция;noun
complain;[kəmʹpleın];жаловаться;verb
completely;[kəmʹpli:tlı];полностью;adverb
condition;[kənʹdıʃ(ə)n];состояние;noun
conference;[ʹkɒnf(ə)rəns];конференция;noun
connect;[kəʹnekt];подключить;verb
connected;[kəʹnektıd];связанный;adjective
consider;[kənʹsıdə];считать;verb
contain;[kənʹteın];содержать;verb
context;[ʹkɒntekst];контекст;noun
continent;[ʹkɒntınənt];континент;noun
continue;[kənʹtınju:];продолжать;verb
control;[kɒnʹtrəʋl];контроль;noun
control;[kɒnʹtrəʋl];контролировать;verb
cook;[kʋk];повар;noun
cooker;[ʹkʋkə];плита;noun
copy;[ʹkɒpı];копия;noun
copy;[ʹkɒpı];копировать;verb
corner;[ʹkɔ:nə];угол;noun
correctly;[kəʹrektlı];правильно;adverb
count;[kaʋnt];рассчитывать;verb
couple;[ʹkʌp(ə)l];пара;noun
cover;[ʹkʌvə];охватывать;verb
crazy;[ʹkreızı];сумасшедший;adjective
creative;[krıʹeıtıv];творческий;adjective
credit;[ʹkredıt];кредит;noun
crime;[kraım];преступление;noun
criminal;[ʹkrımın(ə)l];преступник;noun
cross;[krɒs];крест;noun
cross;[krɒs];пересечь;verb
crowd;[kraʋd];толпа;noun
crowded;[ʹkraʋdıd];переполненный;adjective
cry;[kraı];плакать;verb
cupboard;[ʹkʌpbəd];шкаф;noun
curly;[ʹkɜ:lı];вьющийся;adjective
cycle;[ʹsaık(ə)l];цикл;noun
cycle;[ʹsaık(ə)l];ездить на велосипеде;verb
daily;[ʹdeılı];ежедневный;adjective
danger;[ʹdeındʒə];опасность;noun
dark;[dɑ:k];тьма;noun
data;[ʹdeıtə];данные;noun
dead;[ded];мертвый;adjective
deal;[di:l];справиться;verb
dear;[dıə];уважаемый;exclamation
death;[deθ];смерть;noun
decision;[dıʹsıʒ(ə)n];решение;noun
deep;[di:p];глубокий;adjective
definitely;[ʹdefınıtlı];определенно;adverb
degree;[dıʹgri:];степень;noun
dentist;[ʹdentıst];стоматолог;noun
department;[dıʹpɑ:tmənt];департамент;noun
depend;[dıʹpend];зависеть от;verb
desert;[ʹdezət];пустыня;noun
designer;[dıʹzaınə];дизайнер;noun
