word;lvl;transcription;class
a;a1;[ə,(eı)];indefinite article
abandon;b2;[əʹbændən];verb
ability;a2;[əʹbılıtı];noun
able;a2;[ʹeıb(ə)l];adjective
abolish;c1;[əʹbɒlıʃ];verb
abortion;c1;[əʹbɔ:ʃ(ə)n];noun
about;a1;[əʹbaʋt];adverb
about;a1;[əʹbaʋt];preposition
above;a1;[əʹbʌv];adverb
above;a1;[əʹbʌv];preposition
abroad;a2;[əʹbrɔ:d];adverb
absence;c1;[ʹæbs(ə)ns];noun
absent;c1;[ʹæbs(ə)nt];adjective
absolute;b2;[ʹæbsəlu:t];adjective
absolutely;b1;[͵æbsəʹlu:tlı];adverb
absorb;b2;[əbʹzɔ:b];verb
abstract;b2;[ʹæbstrækt];adjective
absurd;c1;[əbʹsɜ:d];adjective
abundance;c1;[əʹbʌndəns];noun
abuse;c1;[əʹbju:s];noun
abuse;c1;[əʹbju:s];verb
academic;b1;[͵ækəʹdemık];adjective
academic;b2;[͵ækəʹdemık];noun
academy;c1;[əʹkædəmı];noun
accelerate;c1;[əkʹseləreıt];verb
accent;b2;[ʹæks(ə)nt];noun
accept;a2;[əkʹsept];verb
acceptable;b2;[əkʹseptəb(ə)l];adjective
acceptance;c1;[əkʹseptəns];noun
access;b1;[ʹækses];noun
access;b1;[ʹækses];verb
accessible;c1;[əkʹsesəb(ə)l];adjective
accident;a2;[ʹæksıd(ə)nt];noun
accidentally;b2;[͵æksıʹdent(ə)lı];adverb
accommodate;b2;[əʹkɒmədeıt];verb
accommodation;b1;[ə͵kɒməʹdeıʃ(ə)n];noun
accompany;b2;[əʹkʌmp(ə)nı];verb
accomplish;b2;[əʹkʌmplıʃ];verb
accomplishment;c1;[əʹkʌmplıʃınənt];noun
accordance;c1;[əʹkɔ:d(ə)ns];noun
according to;a2;[əʹkɔ:dıŋ] [tu:];preposition
accordingly;c1;[əʹkɔ:dıŋlı];adverb
account;b1;[əʹkaʋnt];noun
account;b2;[əʹkaʋnt];verb
accountability;c1;[ə͵kaʋntəʹbılıtı];noun
accountable;c1;[əʹkaʋntəb(ə)l];adjective
accountant;b2;[əʹkaʋntənt];noun
accounting;unknown;[əʹkaʋntıŋ];noun
accumulate;c1;[əʹkju:mjʋleıt];verb
accumulation;c1;[ə͵kju:mjʋʹleıʃ(ə)n];noun
accuracy;b2;[ʹækjərəsı];noun
accurate;b2;[ʹækjərət];adjective
accurately;b2;[ʹækjərətlı];adverb
accusation;c1;[͵ækjʋʹzeıʃ(ə)n];noun
accuse;b2;[əʹkju:z];verb
accused;c1;[əʹkju:zd];noun
achieve;a2;[əʹtʃi:v];verb
achievement;b1;[əʹtʃi:vmənt];noun
acid;c1;[ʹæsıd];adjective
acid;b2;[ʹæsıd];noun
acknowledge;b2;[əkʹnɒlıdʒ];verb
acquire;b2;[əʹkwaıə];verb
acquisition;c1;[͵ækwıʹzıʃ(ə)n];noun
acre;c1;[ʹeıkə];noun
across;a1;[əʹkrɒs];adverb
across;a1;[əʹkrɒs];preposition
act;b1;[ækt];noun
act;a2;[ækt];verb
action;a1;[ʹækʃ(ə)n];noun
activate;b2;[ʹæktıveıt];verb
activation;c1;[͵æktıʹveıʃ(ə)n];noun
active;a2;[ʹæktıv];adjective
activist;c1;[ʹæktıvıst];noun
activity;a1;[ækʹtıvıtı];noun
actor;a1;[ʹæktə];noun
actress;a1;[ʹæktrıs];noun
actual;b2;[ʹæktʃʋəl];adjective
actually;a2;[ʹæktʃ(ʋ)əlı];adverb
acute;c1;[əʹkju:t];adjective
ad;b1;[æd];noun
adapt;b2;[əʹdæpt];verb
adaptation;c1;[͵ædəpʹteıʃ(ə)n];noun
add;a1;[æd];verb
addiction;b2;[əʹdıkʃ(ə)n];noun
addition;b1;[əʹdıʃ(ə)n];noun
additional;b2;[əʹdıʃ(ə)nəl];adjective
additionally;b2;[əʹdıʃ(ə)nəlı];adverb
address;a1;[əʹdres];noun
address;b2;[əʹdres];verb
adequate;b2;[ʹædıkwıt];adjective
adequately;b2;[ʹædıkwıtlı];adverb
adhere;c1;[ədʹhıə];verb
adjacent;c1;[əʹdʒeıs(ə)nt];adjective
adjust;b2;[əʹdʒʌst];verb
adjustment;c1;[əʹdʒʌstmənt];noun
administer;c1;[ədʹmınıstə];verb
administration;b2;[əd͵mınıʹstreıʃ(ə)n];noun
administrative;c1;[ədʹmınıstrətıv];adjective
administrator;c1;[ədʹmınıstreıtə];noun
admire;b1;[ədʹmaıə];verb
admission;c1;[ədʹmıʃ(ə)n];noun
admit;b1;[ədʹmıt];verb
adolescent;c1;[͵ædəʹles(ə)nt];noun
adopt;b2;[əʹdɒpt];verb
adoption;c1;[əʹdɒpʃ(ə)n];noun
adult;a2;[ʹædʌlt];adjective
adult;a1;[ʹædʌlt];noun
advance;b2;[ədʹvɑ:ns];adjective
advance;b2;[ədʹvɑ:ns];noun
advance;b2;[ədʹvɑ:ns];verb
advanced;b1;[ədʹvɑ:nst];adjective
advantage;a2;[ədʹvɑ:ntıdʒ];noun
adventure;a2;[ədʹventʃə];noun
adverse;c1;[ʹædvɜ:s];adjective
advertise;a2;[ʹædvətaız];verb
advertisement;a2;[ədʹvɜ:tısmənt];noun
advertising;a2;[ʹædvətaızıŋ];noun
advice;a1;[ədʹvaıs];noun
advise;b1;[ədʹvaız];verb
advocate;c1;[ʹædvək(ə)t];noun
advocate;c1;[ʹædvək(ə)t];verb
aesthetic;c1;[i:sʹθetık];adjective
affair;b2;[əʹfeə];noun
affect;a2;[ʹæfekt];verb
affection;c1;[əʹfekʃ(ə)n];noun
afford;b1;[əʹfɔ:d];verb
affordable;b2;[əʹfɔ:dəb(ə)l];adjective
afraid;a1;[əʹfreıd];adjective
after;a2;[ʹɑ:ftə];adverb
after;a2;[ʹɑ:ftə];conjunction
after;a1;[ʹɑ:ftə];preposition
aftermath;c1;[ʹɑ:ftəmæθ];noun
afternoon;a1;[͵ɑ:ftəʹnu:n];noun
afterwards;b2;['ɑ:ftəwədz];adverb
again;a1;[əʹge(ı)n];adverb
against;a2;[əʹge(ı)nst];preposition
age;a1;[eıdʒ];noun
age;b1;[eıdʒ];verb
aged;b1;[ʹeıdʒ(ı)d];adjective
agency;b2;[ʹeıdʒ(ə)nsı];noun
agenda;b2;[əʹdʒendə];noun
agent;b1;[ʹeıdʒ(ə)nt];noun
aggression;c1;[əʹgreʃ(ə)n];noun
aggressive;b2;[əʹgresıv];adjective
ago;a1;[əʹgəʋ];adverb
agree;a1;[əʹgri:];verb
agreement;b1;[əʹgri:mənt];noun
agricultural;c1;[͵ægrıʹkʌltʃ(ə)rəl];adjective
agriculture;b2;[ʹægrı͵kʌltʃə];noun
ah;a2;[ɑ:];exclamation
ahead;b1;[əʹhed];adverb
aid;b2;[eıd];noun
aid;b2;[eıd];verb
aide;c1;[eıd];noun
aids;b2;[eıdz];noun
aim;b1;[eım];noun
aim;b1;[eım];verb
air;a1;[eə];noun
aircraft;b2;[ʹeəkrɑ:ft];noun
airline;a2;[ʹeəlaın];noun
airport;a1;[ʹeəpɔ:t];noun
alarm;b1;[əʹlɑ:m];noun
alarm;b2;[əʹlɑ:m];verb
albeit;c1;[ɔ:lʹbi:ıt];conjunction
album;b1;[ʹælbəm];noun
alcohol;b1;[ʹælkəhɒl];noun
alcoholic;b1;[͵ælkəʹhɒlık];adjective
alert;c1;[əʹlɜ:t];adjective
alert;c1;[əʹlɜ:t];noun
alert;c1;[əʹlɜ:t];verb
alien;c1;[ʹeılıən];adjective
alien;b2;[ʹeılıən];noun
align;c1;[əʹlaın];verb
alignment;c1;[əʹlaınmənt];noun
alike;c1;[əʹlaık];adjective
alike;c1;[əʹlaık];adverb
alive;a2;[əʹlaıv];adjective
all;a2;[ɔ:l];adverb
all;a1;[ɔ:l];determiner
all;a1;[ɔ:l];pronoun
all right;a2;[ɔ:l] [raıt];adjective
all right;a2;[ɔ:l] [raıt];adverb
all right;a2;[ɔ:l] [raıt];exclamation
allegation;c1;[͵ælıʹgeıʃ(ə)n];noun
allege;c1;[əʹledʒ];verb
allegedly;c1;[əʹledʒıdlı];adverb
alliance;c1;[əʹlaıəns];noun
allocate;c1;[ʹæləkeıt];verb
allocation;c1;[͵æləʹkeıʃ(ə)n];noun
allow;a2;[əʹlaʋ];verb
allowance;c1;[əʹlaʋəns];noun
ally;c1;[ʹælaı];noun
almost;a2;[ʹɔ:lməʋst];adverb
alone;a2;[əʹləʋn];adjective
alone;a2;[əʹləʋn];adverb
along;a2;[əʹlɒŋ];adverb
along;a2;[əʹlɒŋ];preposition
alongside;b2;[ə͵lɒŋʹsaıd];preposition
already;a2;[ɔ:lʹredı];adverb
also;a1;[ʹɔ:lsəʋ];adverb
alter;b2;[ʹɔ:ltə];verb
alternative;b1;[ɔ:lʹtɜ:nətıv];adjective
alternative;a2;[ɔ:lʹtɜ:nətıv];noun
although;a2;[ɔ:lʹðəʋ];conjunction
altogether;b2;[͵ɔ:ltəʹgeðə];adverb
aluminium;c1;[͵æljʋʹmınıəm];noun
always;a1;[ʹɔ:lw(e)ız];adverb
amateur;c1;[ʹæmət(ʃ)ə];adjective
amateur;c1;[ʹæmət(ʃ)ə];noun
amazed;b1;[əʹmeızd];adjective
amazing;a1;[əʹmeızıŋ];adjective
ambassador;c1;[æmʹbæsədə];noun
ambition;b1;[æmʹbıʃ(ə)n];noun
ambitious;b1;[æmʹbıʃəs];adjective
ambulance;b2;[ʹæmbjʋləns];noun
amend;c1;[əʹmend];verb
amendment;c1;[əʹmendmənt];noun
amid;c1;[əʹmıd];preposition
among;a2;[əʹmʌŋ];preposition
amount;a2;[əʹmaʋnt];noun
amount;b2;[əʹmaʋnt];verb
amusing;b2;[əʹmju:zıŋ];adjective
analogy;c1;[əʹnælədʒı];noun
analyse;b1;[ʹænəlaız];verb
analysis;b1;[əʹnælısıs];noun
analyst;b2;[ʹænəlıst];noun
ancestor;b2;[ʹænsəstə];noun
anchor;c1;[ʹæŋkə];noun
ancient;a2;[ʹeınʃ(ə)nt];adjective
and;a1;[ænd];conjunction
angel;c1;[ʹeındʒ(ə)l];noun
anger;b2;[ʹæŋgə];noun
angle;b2;[ʹæŋg(ə)l];noun
angrily;unknown;[ʹæŋgrılı];adverb
angry;a1;[ʹæŋgrı];adjective
animal;a1;[ʹænım(ə)l];noun
animation;b2;[ænıʹmeıʃ(ə)n];noun
ankle;a2;[ʹæŋk(ə)l];noun
anniversary;b2;[͵ænıʹvɜ:s(ə)rı];noun
announce;b1;[əʹnaʋns];verb
announcement;b1;[əʹnaʋnsmənt];noun
annoy;b1;[əʹnɔı];verb
