word;transcription;translation;class
abandon;[əʹbændən];отказаться от;verb
absolute;[ʹæbsəlu:t];абсолютный;adjective
absorb;[əbʹzɔ:b];поглощать;verb
abstract;[ʹæbstrækt];абстрактный;adjective
academic;[͵ækəʹdemık];академик;noun
accent;[ʹæks(ə)nt];акцент;noun
acceptable;[əkʹseptəb(ə)l];приемлемый;adjective
accidentally;[͵æksıʹdent(ə)lı];случайно;adverb
accommodate;[əʹkɒmədeıt];вместить;verb
accompany;[əʹkʌmp(ə)nı];сопровождать;verb
accomplish;[əʹkʌmplıʃ];достичь;verb
account;[əʹkaʋnt];приходиться;verb
accountant;[əʹkaʋntənt];бухгалтер;noun
accuracy;[ʹækjərəsı];точность;noun
accurate;[ʹækjərət];точный;adjective
accurately;[ʹækjərətlı];точно;adverb
accuse;[əʹkju:z];обвинять;verb
acid;[ʹæsıd];кислота;noun
acknowledge;[əkʹnɒlıdʒ];признать;verb
acquire;[əʹkwaıə];приобрести;verb
activate;[ʹæktıveıt];активировать;verb
actual;[ʹæktʃʋəl];фактический;adjective
adapt;[əʹdæpt];адаптироваться;verb
addiction;[əʹdıkʃ(ə)n];зависимость;noun
additional;[əʹdıʃ(ə)nəl];дополнительный;adjective
additionally;[əʹdıʃ(ə)nəlı];кроме того;adverb
address;[əʹdres];решить;verb
adequate;[ʹædıkwıt];адекватный;adjective
adequately;[ʹædıkwıtlı];адекватно;adverb
adjust;[əʹdʒʌst];корректировать;verb
administration;[əd͵mınıʹstreıʃ(ə)n];администрация;noun
adopt;[əʹdɒpt];принять;verb
advance;[ədʹvɑ:ns];предварительный;adjective
advance;[ədʹvɑ:ns];продвижение;noun
advance;[ədʹvɑ:ns];продвигать;verb
affair;[əʹfeə];роман;noun
affordable;[əʹfɔ:dəb(ə)l];доступный;adjective
afterwards;['ɑ:ftəwədz];после этого;adverb
agency;[ʹeıdʒ(ə)nsı];агентство;noun
agenda;[əʹdʒendə];повестка дня;noun
aggressive;[əʹgresıv];агрессивный;adjective
agriculture;[ʹægrı͵kʌltʃə];сельское хозяйство;noun
aid;[eıd];помощь;noun
aid;[eıd];помочь;verb
aids;[eıdz];пособия;noun
aircraft;[ʹeəkrɑ:ft];самолет;noun
alarm;[əʹlɑ:m];тревожить;verb
alien;[ʹeılıən];иностранец;noun
alongside;[ə͵lɒŋʹsaıd];вместе с;preposition
alter;[ʹɔ:ltə];изменить;verb
altogether;[͵ɔ:ltəʹgeðə];вообще;adverb
ambulance;[ʹæmbjʋləns];скорая помощь;noun
amount;[əʹmaʋnt];составлять;verb
amusing;[əʹmju:zıŋ];забавный;adjective
analyst;[ʹænəlıst];аналитик;noun
ancestor;[ʹænsəstə];предок;noun
anger;[ʹæŋgə];гнев;noun
angle;[ʹæŋg(ə)l];угол;noun
animation;[ænıʹmeıʃ(ə)n];анимация;noun
anniversary;[͵ænıʹvɜ:s(ə)rı];годовщина;noun
annual;[ʹænjʋəl];ежегодный;adjective
annually;[ʹænjʋəlı];ежегодно;adverb
anticipate;[ænʹtısıpeıt];ожидать;verb
anxiety;[æŋʹzaıətı];тревога;noun
anxious;[ʹæŋkʃəs];тревожный;adjective
apology;[əʹpɒlədʒı];извинение;noun
apparent;[əʹpærənt];очевидный;adjective
apparently;[əʹpærəntlı];по-видимому;adverb
appeal;[əʹpi:l];апелляция;noun
appeal;[əʹpi:l];обжаловать;verb
applicant;[ʹæplıkənt];заявитель;noun
approach;[əʹprəʋtʃ];подход;noun
approach;[əʹprəʋtʃ];подойти;verb
appropriate;[əʹprəʋprııt];соответствующий;adjective
appropriately;[əʹprəʋprııtlı];надлежащим образом;adverb
approval;[əʹpru:v(ə)l];утверждение;noun
approve;[əʹpru:v];одобрить;verb
arise;[əʹraız];возникать;verb
armed;[ɑ:md];вооруженный;adjective
arms;arms[МН.Ч.];оружие;noun
arrow;[ʹærəʋ];стрела;noun
artificial;[͵ɑ:tıʹfıʃ(ə)l];искусственный;adjective
artistic;[ɑ:ʹtıstık];художественный;adjective
artwork;[ʹɑ:twɜ:k];произведение искусства;noun
ashamed;[əʹʃeımd];стыдно;adjective
aside;[əʹsaıd];в сторону;adverb
aspect;[ʹæspekt];аспект;noun
assess;[əʹses];оценить;verb
assessment;[əʹsesmənt];оценка;noun
asset;[ʹæset];актив;noun
assign;[əʹsaın];назначить;verb
assistance;[əʹsıst(ə)ns];помощь;noun
associate;[əʹsəʋʃııt];ассоциировать;verb
associated;[əʹsəʋʃıeıtıd];связанный;adjective
association;[ə͵səʋsıʹeıʃ(ə)n];ассоциация;noun
assume;[əʹsju:m];предположить;verb
assumption;[əʹsʌmpʃ(ə)n];предположение;noun
assure;[əʹʃʋə];заверить;verb
astonishing;[əʹstɒnıʃıŋ];удивительный;adjective
attachment;[əʹtætʃmənt];привязанность;noun
attempt;[əʹtempt];попытка;noun
attempt;[əʹtempt];пытаться;verb
auction;[ʹɔ:kʃ(ə)n];аукцион;noun
audio;[ʹɔ:dıəʋ];аудио;adjective
automatic;[͵ɔ:təʹmætık];автоматический;adjective
automatically;[͵ɔ:təʹmætık(ə)lı];автоматически;adverb
awareness;[əʹweənıs];осведомленность;noun
awkward;[ʹɔ:kwəd];неловкий;adjective
back;[bæk];вернуться;verb
bacteria;[bækʹtı(ə)rıə];бактерии;noun
badge;[bædʒ];значок;noun
balanced;[ʹbælənst];сбалансированный;adjective
ballet;[ʹbæleı];балет;noun
balloon;[bəʹlu:n];воздушный шар;noun
bar;[bɑ:];запретить;verb
barely;[ʹbeəlı];едва;adverb
bargain;[ʹbɑ:gın];сделка;noun
barrier;[ʹbærıə];барьер;noun
basement;[ʹbeısmənt];подвал;noun
basically;[ʹbeısık(ə)lı];в основном;adverb
basket;[ʹbɑ:skıt];корзина;noun
bat;[bæt];летучая мышь;noun
battle;[ʹbætl];сражаться;verb
bear;[beə];нести;verb
beat;[bi:t];ритм;noun
beg;[beg];просить;verb
being;[ʹbi:ıŋ];существо;noun
beneficial;[͵benıʹfıʃ(ə)l];полезный;adjective
bent;[bent];согнутый;adjective
beside;[bıʹsaıd];рядом с;preposition
besides;[bıʹsaıdz];кроме того;adverb
besides;[bıʹsaıdz];не считая;preposition
bet;[bet];ставка;noun
bet;[bet];спорить;verb
beyond;[bıʹjɒnd];за пределы;adverb
beyond;[bıʹjɒnd];за пределами;preposition
bias;[ʹbaıəs];предвзятость;noun
bid;[bıd];заявка;noun
bid;[bıd];предложить;verb
bill;[bıl];выставлять счет;verb
biological;[,baiəu'lɔdʒik(əl)];биологический;adjective
bitter;[ʹbıtə];горький;adjective
blame;[bleım];вина;noun
blame;[bleım];винить;verb
blanket;[ʹblæŋkıt];одеяло;noun
blind;[blaınd];слепой;adjective
blow;[bləʋ];удар;noun
bold;[bəʋld];смелый;adjective
bombing;[ʹbɒmıŋ];бомбардировка;noun
bond;[bɒnd];облигация;noun
booking;[ʹbʋkıŋ];бронирование;noun
boost;[bu:st];повышение;noun
boost;[bu:st];повысить;verb
border;[ʹbɔ:də];граничить;verb
bound;[baʋnd];связанный;adjective
breast;[brest];грудь;noun
brick;[brık];кирпич;noun
brief;[bri:f];краткий;adjective
briefly;[ʹbri:flı];кратко;adverb
broad;[brɔ:d];широкий;adjective
broadcast;[ʹbrɒdkɑ:st];трансляция;noun
broadcast;[ʹbrɒdkɑ:st];транслироваться;verb
broadcaster;[ʹbrɔ:d͵kɑ:stə];телекомпания;noun
broadly;[ʹbrɔ:dlı];широко;adverb
budget;[ʹbʌdʒıt];бюджет;noun
bug;[bʌg];ошибка;noun
bullet;[ʹbʋlıt];пуля;noun
bunch;[bʌntl];куча;noun
burn;[bɜ:n];ожог;noun
bush;[bʋʃ];Буш;noun
but;[bʌt];кроме;preposition
cabin;[ʹkæbın];кабина;noun
cable;[ʹkeıb(ə)l];кабель;noun
