word;transcription;translation;class
absolutely;[͵æbsəʹlu:tlı];абсолютно;adverb
academic;[͵ækəʹdemık];академический;adjective
access;[ʹækses];доступ;noun
access;[ʹækses];получить доступ;verb
accommodation;[ə͵kɒməʹdeıʃ(ə)n];жилье;noun
account;[əʹkaʋnt];счет;noun
achievement;[əʹtʃi:vmənt];достижение;noun
act;[ækt];закон;noun
ad;[æd];реклама;noun
addition;[əʹdıʃ(ə)n];дополнение;noun
admire;[ədʹmaıə];восхищаться;verb
admit;[ədʹmıt];признать;verb
advanced;[ədʹvɑ:nst];передовой;adjective
advise;[ədʹvaız];советовать;verb
afford;[əʹfɔ:d];позволить себе;verb
age;[eıdʒ];стареть;verb
aged;[ʹeıdʒ(ı)d];старый;adjective
agent;[ʹeıdʒ(ə)nt];агент;noun
agreement;[əʹgri:mənt];соглашение;noun
ahead;[əʹhed];впереди;adverb
aim;[eım];цель;noun
aim;[eım];стремиться;verb
alarm;[əʹlɑ:m];сигнализация;noun
album;[ʹælbəm];альбом;noun
alcohol;[ʹælkəhɒl];алкоголь;noun
alcoholic;[͵ælkəʹhɒlık];алкогольный;adjective
alternative;[ɔ:lʹtɜ:nətıv];альтернативный;adjective
amazed;[əʹmeızd];потрясенный;adjective
ambition;[æmʹbıʃ(ə)n];амбиция;noun
ambitious;[æmʹbıʃəs];амбициозный;adjective
analyse;[ʹænəlaız];анализировать;verb
analysis;[əʹnælısıs];анализ;noun
announce;[əʹnaʋns];объявить;verb
announcement;[əʹnaʋnsmənt];объявление;noun
annoy;[əʹnɔı];раздражать;verb
annoyed;[əʹnɔıd];раздраженный;adjective
annoying;[əʹnɔııŋ];раздражающий;adjective
apart;[əʹpɑ:t];друг от друга;adverb
apologize;[əʹpɒlədʒaız];извиниться;verb
application;[͵æplıʹkeıʃ(ə)n];применение;noun
appointment;[əʹpɔıntmənt];назначение;noun
appreciate;[əʹpri:ʃıeıt];ценить;verb
approximately;[əʹprɒksımıtlı];примерно;adverb
arrest;[əʹrest];арест;noun
arrest;[əʹrest];арестовать;verb
arrival;[əʹraıv(ə)l];прибытие;noun
assignment;[əʹsaınmənt];задание;noun
assist;[əʹsıst];помочь;verb
atmosphere;[ʹætməsfıə];атмосфера;noun
attach;[əʹtætʃ];придавать;verb
attitude;[ʹætıtju:d];отношение;noun
attract;[əʹtrækt];привлечь;verb
attraction;[əʹtrækʃ(ə)n];достопримечательность;noun
authority;[ɔ:ʹθɒrıtı];орган;noun
average;[ʹæv(ə)rıdʒ];составлять в среднем;verb
award;[əʹwɔ:d];присуждать;verb
aware;[əʹweə];осведомленный;adjective
backwards;[ʹbækwədz];назад;adverb
bake;[beık];испечь;verb
balance;[ʹbæləns];баланс;noun
balance;[ʹbæləns];сбалансировать;verb
ban;[bæn];запрет;noun
ban;[bæn];запретить;verb
base;[beıs];база;noun
base;[beıs];основывать;verb
basic;[ʹbeısık];основной;adjective
basis;[ʹbeısıs];основа;noun
battery;[ʹbæt(ə)rı];батарея;noun
battle;[ʹbætl];битва;noun
beauty;[ʹbju:tı];красота;noun
bee;[bi:];пчела;noun
belief;[bıʹli:f];вера;noun
bell;[bel];колокол;noun
bend;[bend];изгиб;noun
bend;[bend];согнуть;verb
benefit;[ʹbenıfıt];воспользоваться;verb
better;[ʹbetə];улучшение;noun
bite;[baıt];укус;noun
bite;[baıt];укусить;verb
block;[blɒk];блок;noun
block;[blɒk];блокировать;verb
board;[bɔ:d];сесть;verb
bomb;[bɒm];бомба;noun
bomb;[bɒm];бомбить;verb
border;[ʹbɔ:də];граница;noun
bother;[ʹbɒðə];беспокоить;verb
branch;[brɑ:ntʃ];филиал;noun
brand;[brænd];бренд;noun
brand;[brænd];заклеймить;verb
brave;[breıv];смелый;adjective
breath;[breθ];дыхание;noun
breathe;[bri:ð];дышать;verb
breathing;[ʹbri:ðıŋ];дыхание;noun
bride;[braıd];невеста;noun
bubble;[ʹbʌb(ə)l];пузырь;noun
bury;[ʹberı];похоронить;verb
by;[baı];путем;adverb
calm;[kɑ:m];спокойный;adjective
calm;[kɑ:m];спокойствие;noun
calm;[kɑ:m];успокоить;verb
campaign;[kæmʹpeın];кампания;noun
campaign;[kæmʹpeın];агитировать;verb
campus;[ʹkæmpəs];кампус;noun
candidate;[ʹkændıdət];кандидат;noun
cap;[kæp];шапка;noun
captain;[ʹkæptın];капитан;noun
careless;[ʹkeəlıs];неосторожный;adjective
category;[ʹkætıg(ə)rı];категория;noun
