word;transcription;translation;class
abolish;[əʹbɒlıʃ];отменить;verb
abortion;[əʹbɔ:ʃ(ə)n];аборт;noun
absence;[ʹæbs(ə)ns];отсутствие;noun
absent;[ʹæbs(ə)nt];отсутствующий;adjective
absurd;[əbʹsɜ:d];абсурдный;adjective
abundance;[əʹbʌndəns];изобилие;noun
abuse;[əʹbju:s];злоупотребление;noun
abuse;[əʹbju:s];злоупотреблять;verb
academy;[əʹkædəmı];академия;noun
accelerate;[əkʹseləreıt];ускорить;verb
acceptance;[əkʹseptəns];принятие;noun
accessible;[əkʹsesəb(ə)l];доступный;adjective
accomplishment;[əʹkʌmplıʃınənt];достижение;noun
accordance;[əʹkɔ:d(ə)ns];соответствие;noun
accordingly;[əʹkɔ:dıŋlı];соответственно;adverb
accountability;[ə͵kaʋntəʹbılıtı];подотчетность;noun
accountable;[əʹkaʋntəb(ə)l];подотчетный;adjective
accumulate;[əʹkju:mjʋleıt];накапливаться;verb
accumulation;[ə͵kju:mjʋʹleıʃ(ə)n];накопление;noun
accusation;[͵ækjʋʹzeıʃ(ə)n];обвинение;noun
accused;[əʹkju:zd];обвиняемый;noun
acid;[ʹæsıd];кислотный;adjective
acquisition;[͵ækwıʹzıʃ(ə)n];приобретение;noun
acre;[ʹeıkə];акр;noun
activation;[͵æktıʹveıʃ(ə)n];активация;noun
activist;[ʹæktıvıst];активист;noun
acute;[əʹkju:t];острый;adjective
adaptation;[͵ædəpʹteıʃ(ə)n];адаптация;noun
adhere;[ədʹhıə];придерживаться;verb
adjacent;[əʹdʒeıs(ə)nt];прилегающий;adjective
adjustment;[əʹdʒʌstmənt];корректировка;noun
administer;[ədʹmınıstə];управлять;verb
administrative;[ədʹmınıstrətıv];административный;adjective
administrator;[ədʹmınıstreıtə];администратор;noun
admission;[ədʹmıʃ(ə)n];прием;noun
adolescent;[͵ædəʹles(ə)nt];подросток;noun
adoption;[əʹdɒpʃ(ə)n];принятие;noun
adverse;[ʹædvɜ:s];неблагоприятный;adjective
advocate;[ʹædvək(ə)t];адвокат;noun
advocate;[ʹædvək(ə)t];выступать за;verb
aesthetic;[i:sʹθetık];эстетический;adjective
affection;[əʹfekʃ(ə)n];привязанность;noun
aftermath;[ʹɑ:ftəmæθ];последствие;noun
aggression;[əʹgreʃ(ə)n];агрессия;noun
agricultural;[͵ægrıʹkʌltʃ(ə)rəl];сельскохозяйственный;adjective
aide;[eıd];помощник;noun
albeit;[ɔ:lʹbi:ıt];хоть и;conjunction
alert;[əʹlɜ:t];бдительный;adjective
alert;[əʹlɜ:t];оповещение;noun
alert;[əʹlɜ:t];предупредить;verb
alien;[ʹeılıən];инопланетный;adjective
align;[əʹlaın];привести;verb
alignment;[əʹlaınmənt];выравнивание;noun
alike;[əʹlaık];одинаковый;adjective
alike;[əʹlaık];так;adverb
allegation;[͵ælıʹgeıʃ(ə)n];утверждение;noun
allege;[əʹledʒ];утверждать;verb
allegedly;[əʹledʒıdlı];якобы;adverb
alliance;[əʹlaıəns];альянс;noun
allocate;[ʹæləkeıt];выделить;verb
allocation;[͵æləʹkeıʃ(ə)n];распределение;noun
allowance;[əʹlaʋəns];пособие;noun
ally;[ʹælaı];союзник;noun
aluminium;[͵æljʋʹmınıəm];алюминий;noun
amateur;[ʹæmət(ʃ)ə];любительский;adjective
amateur;[ʹæmət(ʃ)ə];любитель;noun
ambassador;[æmʹbæsədə];посол;noun
amend;[əʹmend];изменить;verb
amendment;[əʹmendmənt];поправка;noun
amid;[əʹmıd];в условиях;preposition
analogy;[əʹnælədʒı];аналогия;noun
anchor;[ʹæŋkə];якорь;noun
angel;[ʹeındʒ(ə)l];ангел;noun
anonymous;[əʹnɒnıməs];анонимный;adjective
apparatus;[͵æpəʹreıtəs];аппарат;noun
appealing;[əʹpi:lıŋ];привлекательный;adjective
appetite;[ʹæpıtaıt];аппетит;noun
applaud;[əʹplɔ:d];приветствовать;verb
applicable;[əʹplıkəb(ə)l];применимый;adjective
appoint;[əʹpɔınt];назначить;verb
appreciation;[əʹpri:ʃıʹeıʃ(ə)n];признательность;noun
arbitrary;[ʹɑ:bıtrərı];произвольный;adjective
architectural;[͵ɑ:kıʹtektʃ(ə)rəl];архитектурный;adjective
archive;[ʹɑ:kaıv];архив;noun
arena;[əʹri:nə];арена;noun
arguably;['ɑ:gjuəbli];возможно;adverb
arm;[ɑ:m];вооружить;verb
array;[əʹreı];массив;noun
articulate;[ɑ:ʹtıkjʋlıt];сформулировать;verb
ash;[æʃ];пепел;noun
aspiration;[͵æspıʹreıʃ(ə)n];стремление;noun
aspire;[əʹspaıə];стремиться;verb
assassination;[ə͵sæsıʹneıʃ(ə)n];убийство;noun
assault;[əʹsɔ:lt];нападение;noun
assault;[əʹsɔ:lt];напасть;verb
assemble;[əʹsemb(ə)l];собрать;verb
assembly;[əʹsemblı];ассамблея;noun
assert;[əʹsɜ:t];утверждать;verb
assertion;[əʹsɜ:ʃ(ə)n];утверждение;noun
assurance;[əʹʃʋ(ə)rəns];обеспечение;noun
asylum;[əʹsaıləm];убежище;noun
atrocity;[əʹtrɒsıtı];злодеяние;noun
attain;[əʹteın];достичь;verb
attendance;[əʹtendəns];посещаемость;noun
attorney;[əʹtɜ:nı];адвокат;noun
attribute;[ʹætrıbju:t];атрибут;noun
attribute;[ʹætrıbju:t];приписывать;verb
audit;[ʹɔ:dıt];аудит;noun
authentic;[ɔ:ʹθentık];подлинный;adjective
authorize;[ʹɔ:θəraız];санкционировать;verb
auto;[ʹɔ:təʋ];автомобиль;noun
autonomy;[ɔ:ʹtɒnəmı];автономия;noun
availability;[ə͵veıləʹbılıtı];наличие;noun
await;[əʹweıt];ждать;verb
backdrop;[ʹbækdrɒp];фон;noun
backing;[ʹbækıŋ];поддержка;noun
backup;[ʹbækʌp];резервное копирование;noun
bail;[beıl];залог;noun
ballot;[ʹbælət];голосование;noun
banner;[ʹbænə];баннер;noun
bare;[beə];голый;adjective
barrel;[ʹbærəl];баррель;noun
bass;[beıs];бас;noun
bat;[bæt];бить;verb
battlefield;[ʹbætlfi:ld];поле боя;noun
bay;[beı];залив;noun
